gid,depth,is_seed,in_deg,in_kzt,in_tx,out_deg,out_kzt,out_tx,pass_through,truncated,seed_payers_direct,seed_sources_2hop,pagerank,betweenness,fast_pass_share,taint_kzt,taint_share,role,role_score,peripheral_reason,evidence,priority_score,why,cluster_id
100000000011452100,1,False,3,110000,7,1,16685,2,0.151681818182,False,1,1,0.000487245155609,3.36849647358e-06,1,76085.8620952,0.691689655411,terminal,0.75,,Possible holding point: receives 110K KZT from 3 payers; observed onward flow is 15%.,0.760297322074,"Possible holding point: receives 110K KZT from 3 payers; observed onward flow is 15%. Priority drivers: high case-money inflow (76K KZT), 1 seeds within 2 hops.",0
100000000018102100,4,False,1,7000,1,0,0,0,0,True,0,0,0.00031863672907,0,0,74.740878688,0.010677268384,peripheral,0.9,cut_off_hop4,Outgoing transfers not observed: graph cut off at hop 4.,0.206993564318,"Outgoing transfers not observed: graph cut off at hop 4. Priority drivers: high weighted network importance, high case-money inflow (75 KZT).",0
100000000031787100,2,False,1,90000,2,2,90000,4,1,False,0,1,0.000428872135161,3.96293702774e-07,0.444444444444,48648.6393997,0.540540437774,transit,1,,Pass-through hypothesis: forwards 100% of 90K KZT received; 44% forwarded within 2 days.,0.777517494276,"Pass-through hypothesis: forwards 100% of 90K KZT received; 44% forwarded within 2 days. Priority drivers: high case-money inflow (49K KZT), 1 seeds within 2 hops.",6
100000000041368100,1,False,1,160000,1,0,0,0,0,False,1,2,0.000315815838898,0,0,160000,1,peripheral,0.9,one_off_recipient,Single inflow of 160K KZT; 0 further outgoing transfers observed.,0.652201353474,"Single inflow of 160K KZT; 0 further outgoing transfers observed. Priority drivers: high case-money inflow (160K KZT), 2 seeds within 2 hops.",2
100000000076451100,2,False,3,87707,4,4,58000,4,0.661292713238,False,0,1,0.00138363601967,9.76863977338e-05,0.258620689655,1969.60506782,0.0224566461949,peripheral,0.6,other,"Limited role evidence: 3 payers, 4 recipients, 88K KZT received in observed graph.",0.646120393788,"Limited role evidence: 3 payers, 4 recipients, 88K KZT received in observed graph. Priority drivers: high case-money inflow (2K KZT), 1 seeds within 2 hops.",15
100000000089154100,1,False,1,10000,1,15,425500,21,42.55,False,1,1,0.000285899167442,0.000108954784611,0.273795534665,10000,0.0235017626322,distributor,0.75,,Fan-out hypothesis: sends 426K KZT to 15 recipients after receiving from 1 payers.,0.66806713011,"Fan-out hypothesis: sends 426K KZT to 15 recipients after receiving from 1 payers. Priority drivers: high case-money inflow (10K KZT), 1 seeds within 2 hops.",0
100000000190228100,2,False,1,5000,1,1,28560,1,5.712,False,0,1,0.000578557766435,2.15980068012e-05,0,2390.84439118,0.083713038907,peripheral,0.6,other,"Limited role evidence: 1 payers, 1 recipients, 5K KZT received in observed graph.",0.623973262205,"Limited role evidence: 1 payers, 1 recipients, 5K KZT received in observed graph. Priority drivers: high case-money inflow (2K KZT), 1 seeds within 2 hops.",8
100000000201868100,2,False,1,190000,1,1,190000,1,1,False,0,1,0.000967520301686,0,1,86971.248687,0.457743414142,transit,1,,Pass-through hypothesis: forwards 100% of 190K KZT received; 100% forwarded within 2 days.,0.767946892952,"Pass-through hypothesis: forwards 100% of 190K KZT received; 100% forwarded within 2 days. Priority drivers: high case-money inflow (87K KZT), 1 seeds within 2 hops.",53
100000000254336100,3,False,2,97177,2,1,60000,1,0.617430050321,False,0,0,0.000290357164055,1.92202445845e-05,1,192.707807704,0.0019830598568,peripheral,0.6,other,"Limited role evidence: 2 payers, 1 recipients, 97K KZT received in observed graph.",0.347255045584,"Limited role evidence: 2 payers, 1 recipients, 97K KZT received in observed graph. Priority drivers: strong bridge position, high case-money inflow (193 KZT).",0
100000000267734100,1,False,2,180000,4,7,282000,8,1.56666666667,False,1,1,0.00053390101153,3.56664332497e-06,0.414893617021,152432.403452,0.540540437774,peripheral,0.6,other,"Limited role evidence: 2 payers, 7 recipients, 180K KZT received in observed graph.",0.719299215464,"Limited role evidence: 2 payers, 7 recipients, 180K KZT received in observed graph. Priority drivers: high case-money inflow (152K KZT), 1 seeds within 2 hops.",6
100000000274067100,1,False,2,517704,9,3,2969000,9,5.73493733871,False,1,1,0.000411173399548,1.18888110832e-06,0.692152239811,242174.288471,0.0815676283162,peripheral,0.6,other,"Limited role evidence: 2 payers, 3 recipients, 518K KZT received in observed graph.",0.706100768873,"Limited role evidence: 2 payers, 3 recipients, 518K KZT received in observed graph. Priority drivers: high case-money inflow (242K KZT), 1 seeds within 2 hops.",6
100000000287768100,3,False,1,35168,1,0,0,0,0,False,0,0,0.000287132337554,0,0,170.563412372,0.00484996054288,peripheral,0.9,one_off_recipient,Single inflow of 35K KZT; 0 further outgoing transfers observed.,0.25597154848,"Single inflow of 35K KZT; 0 further outgoing transfers observed. Priority drivers: high case-money inflow (171 KZT), 0 seeds within 2 hops.",0
100000000288317100,3,False,2,100000,2,3,53500,3,0.535,False,0,0,0.000311104234185,5.82551743078e-05,0.308411214953,1067.72683866,0.0106772683866,peripheral,0.6,other,"Limited role evidence: 2 payers, 3 recipients, 100K KZT received in observed graph.",0.459234536166,"Limited role evidence: 2 payers, 3 recipients, 100K KZT received in observed graph. Priority drivers: high case-money inflow (1K KZT), strong bridge position.",0
100000000291906100,2,False,2,388000,3,2,455854,6,1.1748814433,False,0,1,0.000757952153029,7.80698594465e-05,0.418673522663,9823.83783181,0.0215504039272,transit,0.562796391753,,Pass-through hypothesis: forwards 117% of 388K KZT received; 42% forwarded within 2 days.,0.778795877846,"Pass-through hypothesis: forwards 117% of 388K KZT received; 42% forwarded within 2 days. Priority drivers: high case-money inflow (10K KZT), 1 seeds within 2 hops.",47
100000000291908100,3,False,1,295500,5,1,13300,1,0.0450084602369,False,0,0,0.000701668001682,1.98146851387e-05,0,6368.14300164,0.0215503993287,peripheral,0.6,other,"Limited role evidence: 1 payers, 1 recipients, 296K KZT received in observed graph.",0.553178453133,"Limited role evidence: 1 payers, 1 recipients, 296K KZT received in observed graph. Priority drivers: high case-money inflow (6K KZT), high weighted network importance.",47
100000000297649100,2,False,1,40000,1,1,70600,2,1.765,False,0,1,0.000802394966688,0,0,3402.5324654,0.0481945108414,peripheral,0.6,other,"Limited role evidence: 1 payers, 1 recipients, 40K KZT received in observed graph.",0.5643729471,"Limited role evidence: 1 payers, 1 recipients, 40K KZT received in observed graph. Priority drivers: high case-money inflow (3K KZT), 1 seeds within 2 hops.",10
100000000299820100,4,False,1,10000,1,0,0,0,0,True,0,0,0.000447548367129,0,0,66.5150349918,0.00665150349918,peripheral,0.9,cut_off_hop4,Outgoing transfers not observed: graph cut off at hop 4.,0.226729042571,"Outgoing transfers not observed: graph cut off at hop 4. Priority drivers: high weighted network importance, high case-money inflow (67 KZT).",3
100000000307908100,2,False,1,5000,1,0,0,0,0,False,0,1,0.000295513461644,0,0,1449.26385611,0.289852771223,peripheral,0.9,one_off_recipient,Single inflow of 5K KZT; 0 further outgoing transfers observed.,0.453464534645,"Single inflow of 5K KZT; 0 further outgoing transfers observed. Priority drivers: high case-money inflow (1K KZT), 1 seeds within 2 hops.",40
100000000331309100,2,False,5,984635,8,99,23001375,126,23.3603061033,False,0,3,0.000869741747215,0.00455723405027,0.358430745988,27494.9556223,0.00119536139132,coordinator,0.503927172077,,Bridge hypothesis: top 1% betweenness; links 5 payers and 99 recipients.,0.96307199027,"Bridge hypothesis: top 1% betweenness; links 5 payers and 99 recipients. Priority drivers: high case-money inflow (27K KZT), coordinator role signals.",5
100000000332284100,2,False,10,107426,12,3,289500,3,2.69487833485,False,0,1,0.000712719621885,0.00010913726639,1,6538.78309173,0.0225864700923,consolidator,1,,"Signs of consolidation: receives from 10 payers (1 seeds within 2 hops), 107K KZT in, forwards 269%.",0.829848298483,"Signs of consolidation: receives from 10 payers (1 seeds within 2 hops), 107K KZT in, forwards 269%. Priority drivers: high case-money inflow (7K KZT), consolidator role signals.",5
