cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,n_consolidator,n_distributor,n_transit,taint_kzt
0,278,1,31237334.24,100000004299488100;100000007055802100;100000008686313100,Distribution structure: funds fanned out by 100000002957787100 to 34 recipients.,9,3,11,4433996.21468
1,270,1,10178044,100000001697501100;100000002578405100;100000001166289100,Distribution structure: funds fanned out by 100000001697501100 to 38 recipients.,0,3,3,3367797.22611
2,138,3,18838290,100000008165763100;100000008748914100;100000004847758100,Collection structure: 3 seeds feed consolidator 100000008165763100; check as a possible cash-collection node.,3,4,3,9285969.45127
3,133,0,17433528,100000007908818100;100000008603629100;100000000661912100,Distribution structure: funds fanned out by 100000006977207100 to 15 recipients.,1,3,3,998081.96274
4,127,7,18414962.28,100000001530983100;100000004707703100;100000006518161100,Collection structure: 7 seeds feed consolidator 100000008144528100; check as a possible cash-collection node.,2,1,6,12072130.8818
5,126,0,24907250.33,100000006889963100;100000001330685100;100000000331309100,Distribution structure: funds fanned out by 100000005665181100 to 11 recipients.,4,2,3,1062909.26575
6,106,4,16242879.02,100000004015047100;100000005782781100;100000008748408100,Collection structure: 4 seeds feed consolidator 100000004015047100; check as a possible cash-collection node.,3,2,4,8327230.88699
7,106,0,6254194.67,100000006707582100;100000005473151100;100000007998965100,Distribution structure: funds fanned out by 100000006707582100 to 14 recipients.,1,4,2,158382.592543
8,104,1,21747439.59,100000002838861100;100000008547948100;100000002718366100,Distribution structure: funds fanned out by 100000001162560100 to 12 recipients.,3,6,1,2837592.5728
9,56,3,13397542,100000003404627100;100000001253557100;100000002547110100,Collection structure: 3 seeds feed consolidator 100000001253557100; check as a possible cash-collection node.,2,3,2,4448452.22498
10,53,1,2993313,100000003265158100;100000004692798100;100000001899164100,Distribution structure: funds fanned out by 100000008680731100 to 27 recipients.,0,1,3,1782932.68933
11,53,1,5947339,100000003115284100;100000003635170100;100000008730846100,Layering chain hypothesis: 4 pass-through accounts.,2,0,4,4421380.7136
12,52,5,4171441,100000008346837100;100000005074393100;100000000489417100,Collection structure: 5 seeds feed consolidator 100000008346837100; check as a possible cash-collection node.,1,0,2,652926.552387
13,51,0,13990812,100000008512827100;100000005242320100;100000002670860100,Distribution structure: funds fanned out by 100000008512827100 to 10 recipients.,1,3,0,245135.302082
14,44,0,10215968.84,100000004159526100;100000005933757100;100000002605308100,Distribution structure: funds fanned out by 100000005933757100 to 34 recipients.,0,1,0,262199.915353
15,41,1,4209955.28,100000004156082100;100000004820260100;100000005339662100,Layering chain hypothesis: 3 pass-through accounts.,1,0,3,380106.930121
16,41,0,5151924.19,100000003242289100;100000008413748100;100000008512552100,Distribution structure: funds fanned out by 100000003242289100 to 23 recipients.,0,2,0,60810.6853119
