src,dst,sum_kzt
100000000011452100,100000005140601100,16685
100000000089154100,100000000437046100,32000
100000000089154100,100000003684369100,49500
100000000089154100,100000005782781100,29700
100000000089154100,100000006866783100,22000
100000000089154100,100000008111003100,53700
100000000089154100,100000008165763100,23300
100000000089154100,100000008730846100,10000
100000000201868100,100000006069103100,190000
100000000331309100,100000001072022100,624000
100000000331309100,100000001330685100,2071530
100000000331309100,100000001530983100,104000
100000000331309100,100000003115284100,600000
100000000331309100,100000004077081100,140000
100000000331309100,100000004299488100,360000
100000000331309100,100000004450649100,140970
100000000331309100,100000004746397100,219520
100000000331309100,100000005527892100,30000
100000000331309100,100000006889963100,600000
100000000331309100,100000007055802100,450000
100000000331309100,100000008686313100,373042
100000000331309100,100000008747113100,105210
100000000343175100,100000001924185100,115000
100000000343175100,100000002894076100,80000
100000000343175100,100000002957306100,209500
100000000343175100,100000003115284100,622000
100000000343175100,100000003809101100,146050
100000000343175100,100000006889963100,220000
100000000343175100,100000006972210100,93555
100000000343175100,100000007908818100,165875
100000000437046100,100000001279272100,250000
100000000437046100,100000003115284100,300000
100000000437046100,100000004070318100,90000
100000000437046100,100000004299488100,185000
100000000437046100,100000005830339100,70186
100000000437046100,100000006889963100,300000
100000000437046100,100000007055802100,1015000
100000000437046100,100000007639767100,27868
100000000437046100,100000008293431100,15000
100000000437046100,100000008686313100,1104983
100000000552584100,100000004603109100,57500
100000000594783100,100000002224132100,60000
100000000594783100,100000004603109100,92500
100000000640800100,100000008512827100,43439
100000000661912100,100000003246024100,25000
100000000667713100,100000000343175100,10000
100000000667713100,100000004186824100,14350
100000000667713100,100000006069103100,9700
100000000667713100,100000008636603100,12750
100000000850297100,100000006707582100,17520
100000000910216100,100000008489922100,52010
100000001049200100,100000004156082100,21000
100000001102676100,100000003684369100,50000
100000001138283100,100000008603629100,40000
100000001232297100,100000005074393100,30000
100000001232297100,100000005882013100,15000
100000001279272100,100000000331309100,130000
100000001287955100,100000004015047100,89300
100000001287955100,100000008460102100,17500
100000001530983100,100000002939838100,340000
100000001597505100,100000004015047100,12920
100000001600934100,100000005140601100,11000
100000001609499100,100000006866783100,11000
